contract,root,yahoo,first,last,n
ESU26,ES,ESU26.CME,2024-09-19,2026-09-18,501
ESZ26,ES,ESZ26.CME,2024-09-19,2026-09-18,501
ESH27,ES,ESH27.CME,2024-09-19,2026-09-18,501
ESM27,ES,ESM27.CME,2024-09-19,2026-09-18,501
ESU27,ES,ESU27.CME,2024-09-19,2026-09-18,501
NQU26,NQ,NQU26.CME,2025-03-20,2026-09-18,377
NQZ26,NQ,NQZ26.CME,2024-09-19,2026-09-18,501
NQH27,NQ,NQH27.CME,2025-09-18,2026-09-18,252
NQM27,NQ,NQM27.CME,2025-12-18,2026-09-18,188
NQZ27,NQ,NQZ27.CME,2024-09-19,2026-09-18,501
RTYU26,RTY,RTYU26.CME,2025-06-20,2026-09-18,314
RTYZ26,RTY,RTYZ26.CME,2025-04-25,2026-09-18,352
RTYH27,RTY,RTYH27.CME,2025-12-18,2026-09-18,187
ZTU26,ZT,ZTU26.CBT,2025-12-31,2026-09-18,180
ZTZ26,ZT,ZTZ26.CBT,2026-03-31,2026-09-18,119
ZTH27,ZT,ZTH27.CBT,2026-06-30,2026-09-18,57
ZFU26,ZF,ZFU26.CBT,2025-12-31,2026-09-18,180
ZFZ26,ZF,ZFZ26.CBT,2026-03-31,2026-09-18,119
ZFH27,ZF,ZFH27.CBT,2026-06-30,2026-09-18,57
ZNU26,ZN,ZNU26.CBT,2025-12-19,2026-09-18,187
ZNZ26,ZN,ZNZ26.CBT,2026-03-20,2026-09-18,126
ZNH27,ZN,ZNH27.CBT,2026-06-18,2026-09-18,64
ZBU26,ZB,ZBU26.CBT,2025-12-19,2026-09-18,187
ZBZ26,ZB,ZBZ26.CBT,2026-03-20,2026-09-18,126
ZBH27,ZB,ZBH27.CBT,2026-06-18,2026-09-18,64
6EZ26,6E,6EZ26.CME,2024-09-19,2026-09-18,502
6EH27,6E,6EH27.CME,2024-09-19,2026-09-18,502
6EM27,6E,6EM27.CME,2024-09-19,2026-09-18,502
6EU27,6E,6EU27.CME,2024-09-19,2026-09-18,502
6EZ27,6E,6EZ27.CME,2024-09-19,2026-09-18,502
6BZ26,6B,6BZ26.CME,2024-09-19,2026-09-18,502
6BH27,6B,6BH27.CME,2024-09-19,2026-09-18,502
6BM27,6B,6BM27.CME,2024-09-19,2026-09-18,502
6BU27,6B,6BU27.CME,2024-09-19,2026-09-18,502
6BZ27,6B,6BZ27.CME,2024-09-19,2026-09-18,502
6JZ26,6J,6JZ26.CME,2024-09-19,2026-09-18,502
6JH27,6J,6JH27.CME,2024-09-19,2026-09-18,502
6JM27,6J,6JM27.CME,2024-09-19,2026-09-18,502
6JU27,6J,6JU27.CME,2024-09-19,2026-09-18,502
6JZ27,6J,6JZ27.CME,2024-09-19,2026-09-18,502
CLV26,CL,CLV26.NYM,2024-09-19,2026-09-18,502
CLX26,CL,CLX26.NYM,2024-09-19,2026-09-18,502
CLZ26,CL,CLZ26.NYM,2024-09-19,2026-09-18,503
CLF27,CL,CLF27.NYM,2024-09-19,2026-09-18,502
CLG27,CL,CLG27.NYM,2024-09-19,2026-09-18,502
CLH27,CL,CLH27.NYM,2024-09-19,2026-09-18,502
CLJ27,CL,CLJ27.NYM,2024-09-19,2026-09-18,502
CLK27,CL,CLK27.NYM,2024-09-19,2026-09-18,502
CLM27,CL,CLM27.NYM,2024-09-19,2026-09-18,503
CLN27,CL,CLN27.NYM,2024-09-19,2026-09-18,503
CLQ27,CL,CLQ27.NYM,2024-09-19,2026-09-18,502
CLU27,CL,CLU27.NYM,2024-09-19,2026-09-18,502
CLV27,CL,CLV27.NYM,2024-09-19,2026-09-18,502
CLX27,CL,CLX27.NYM,2024-09-19,2026-09-18,502
CLZ27,CL,CLZ27.NYM,2024-09-19,2026-09-18,503
CLF28,CL,CLF28.NYM,2024-09-19,2026-09-18,502
CLG28,CL,CLG28.NYM,2024-09-19,2026-09-18,502
CLH28,CL,CLH28.NYM,2024-09-19,2026-09-18,502
CLJ28,CL,CLJ28.NYM,2024-09-19,2026-09-18,502
CLK28,CL,CLK28.NYM,2024-09-19,2026-09-18,502
GCV26,GC,GCV26.CMX,2024-11-27,2026-09-18,453
GCZ26,GC,GCZ26.CMX,2024-09-19,2026-09-18,503
GCG27,GC,GCG27.CMX,2025-02-27,2026-09-18,392
GCJ27,GC,GCJ27.CMX,2025-04-11,2026-09-18,361
GCM27,GC,GCM27.CMX,2024-09-19,2026-09-18,502
GCQ27,GC,GCQ27.CMX,2025-06-26,2026-09-18,310
GCV27,GC,GCV27.CMX,2025-08-27,2026-09-18,267
GCZ27,GC,GCZ27.CMX,2024-09-19,2026-09-18,502
GCG28,GC,GCG28.CMX,2025-12-29,2026-09-18,182
GCJ28,GC,GCJ28.CMX,2026-02-25,2026-09-18,143
