symbol,exchange,currency,region,price_scale
AAPL,XNYS,USD,US,1.0
MSFT,XNYS,USD,US,1.0
NVDA,XNYS,USD,US,1.0
AMZN,XNYS,USD,US,1.0
GOOGL,XNYS,USD,US,1.0
META,XNYS,USD,US,1.0
BRK-B,XNYS,USD,US,1.0
TSLA,XNYS,USD,US,1.0
AVGO,XNYS,USD,US,1.0
JPM,XNYS,USD,US,1.0
LLY,XNYS,USD,US,1.0
V,XNYS,USD,US,1.0
UNH,XNYS,USD,US,1.0
XOM,XNYS,USD,US,1.0
MA,XNYS,USD,US,1.0
JNJ,XNYS,USD,US,1.0
PG,XNYS,USD,US,1.0
COST,XNYS,USD,US,1.0
HD,XNYS,USD,US,1.0
ABBV,XNYS,USD,US,1.0
WMT,XNYS,USD,US,1.0
BAC,XNYS,USD,US,1.0
NFLX,XNYS,USD,US,1.0
CRM,XNYS,USD,US,1.0
KO,XNYS,USD,US,1.0
CVX,XNYS,USD,US,1.0
MRK,XNYS,USD,US,1.0
AMD,XNYS,USD,US,1.0
PEP,XNYS,USD,US,1.0
TMO,XNYS,USD,US,1.0
ORCL,XNYS,USD,US,1.0
CSCO,XNYS,USD,US,1.0
ACN,XNYS,USD,US,1.0
ADBE,XNYS,USD,US,1.0
MCD,XNYS,USD,US,1.0
LIN,XNYS,USD,US,1.0
ABT,XNYS,USD,US,1.0
WFC,XNYS,USD,US,1.0
TXN,XNYS,USD,US,1.0
DHR,XNYS,USD,US,1.0
IBM,XNYS,USD,US,1.0
GE,XNYS,USD,US,1.0
CAT,XNYS,USD,US,1.0
PM,XNYS,USD,US,1.0
INTU,XNYS,USD,US,1.0
QCOM,XNYS,USD,US,1.0
VZ,XNYS,USD,US,1.0
AMGN,XNYS,USD,US,1.0
ISRG,XNYS,USD,US,1.0
DIS,XNYS,USD,US,1.0
NOW,XNYS,USD,US,1.0
CMCSA,XNYS,USD,US,1.0
SPGI,XNYS,USD,US,1.0
PFE,XNYS,USD,US,1.0
GS,XNYS,USD,US,1.0
UBER,XNYS,USD,US,1.0
AMAT,XNYS,USD,US,1.0
UNP,XNYS,USD,US,1.0
RTX,XNYS,USD,US,1.0
BKNG,XNYS,USD,US,1.0
LOW,XNYS,USD,US,1.0
AXP,XNYS,USD,US,1.0
T,XNYS,USD,US,1.0
HON,XNYS,USD,US,1.0
NKE,XNYS,USD,US,1.0
BLK,XNYS,USD,US,1.0
SYK,XNYS,USD,US,1.0
PGR,XNYS,USD,US,1.0
ELV,XNYS,USD,US,1.0
NEE,XNYS,USD,US,1.0
TJX,XNYS,USD,US,1.0
LMT,XNYS,USD,US,1.0
BA,XNYS,USD,US,1.0
MDT,XNYS,USD,US,1.0
COP,XNYS,USD,US,1.0
DE,XNYS,USD,US,1.0
ADP,XNYS,USD,US,1.0
SBUX,XNYS,USD,US,1.0
GILD,XNYS,USD,US,1.0
C,XNYS,USD,US,1.0
PLD,XNYS,USD,US,1.0
MMC,XNYS,USD,US,1.0
BX,XNYS,USD,US,1.0
MDLZ,XNYS,USD,US,1.0
ADI,XNYS,USD,US,1.0
VRTX,XNYS,USD,US,1.0
CB,XNYS,USD,US,1.0
REGN,XNYS,USD,US,1.0
LRCX,XNYS,USD,US,1.0
SCHW,XNYS,USD,US,1.0
ETN,XNYS,USD,US,1.0
MU,XNYS,USD,US,1.0
KLAC,XNYS,USD,US,1.0
CI,XNYS,USD,US,1.0
